design,run,cycles,seconds,cycles_per_second,realtime_multiplier,frames,frames_per_second
counter,1,20160000,0.923175,2.18377e+07,0.218377,0,0
counter,2,20160000,0.92656,2.17579e+07,0.217579,0,0
counter,3,20160000,0.916628,2.19937e+07,0.219937,0,0
stopwatch,1,20160000,1.19062,1.69323e+07,0.169323,0,0
stopwatch,2,20160000,1.2203,1.65205e+07,0.165205,0,0
stopwatch,3,20160000,1.22048,1.65181e+07,0.165181,0,0
uart_echo,1,20160000,1.08816,1.85267e+07,0.185267,0,0
uart_echo,2,20160000,1.08442,1.85905e+07,0.185905,0,0
uart_echo,3,20160000,1.07422,1.87672e+07,0.187672,0,0
vga_pattern,1,20160000,1.3547,1.48815e+07,0.148815,12,8.85803
vga_pattern,2,20160000,1.35208,1.49103e+07,0.149103,12,8.8752
vga_pattern,3,20160000,1.35176,1.49138e+07,0.149138,12,8.87728
