design,mode,pacing,run,cycles,seconds,cycles_per_second,realtime_multiplier,frames
counter,board,turbo,1,20000000,0.942071458,21229812.1,0.212298121,0
counter,controller,turbo,1,20000000,1.34626463,14855920.3,0.148559203,0
counter,rendered,turbo,1,20000000,1.26392908,15823672.6,0.158236726,68
counter,rendered,realtime,1,20000000,1.24497008,16064643.1,0.160646431,68
counter,controller,turbo,2,20000000,1.209468,16536196.1,0.165361961,0
counter,rendered,turbo,2,20000000,1.30208921,15359930.7,0.153599307,69
counter,board,turbo,2,20000000,0.945311666,21157043.5,0.211570435,0
counter,rendered,realtime,2,20000000,1.25368858,15952925,0.15952925,67
counter,rendered,turbo,3,20000000,1.23381008,16209950.2,0.162099502,67
counter,board,turbo,3,20000000,0.943926333,21188094.1,0.211880941,0
counter,controller,turbo,3,20000000,1.19277937,16767560.2,0.167675602,0
counter,rendered,realtime,3,20000000,1.32835642,15056200.1,0.150562001,82
stopwatch,board,turbo,1,20000000,1.1459925,17452121.2,0.174521212,0
stopwatch,controller,turbo,1,20000000,1.62545542,12304244,0.12304244,0
stopwatch,rendered,turbo,1,20000000,1.51100283,13236242.5,0.132362425,62
stopwatch,rendered,realtime,1,20000000,1.39677,14318749.7,0.143187497,62
stopwatch,controller,turbo,2,20000000,1.38591542,14430895.1,0.144308951,0
stopwatch,rendered,turbo,2,20000000,1.52307979,13131288.4,0.131312884,63
stopwatch,board,turbo,2,20000000,1.12607762,17760764.9,0.177607649,0
stopwatch,rendered,realtime,2,20000000,1.39272192,14360368.5,0.143603685,62
stopwatch,rendered,turbo,3,20000000,1.38449179,14445733.9,0.144457339,57
stopwatch,board,turbo,3,20000000,1.12587663,17763935.7,0.177639357,0
stopwatch,controller,turbo,3,20000000,1.37488762,14546643.4,0.145466434,0
stopwatch,rendered,realtime,3,20000000,1.38969854,14391610.4,0.143916104,62
