design,mode,pacing,run,cycles,seconds,cycles_per_second,realtime_multiplier,frames,vga_frames
counter,board,turbo,1,20000000,0.938483459,21310977.6,0.213109776,0,0
counter,controller,turbo,1,20000000,1.20486812,16599327,0.16599327,0,0
counter,rendered,turbo,1,20000000,1.25944058,15880066.3,0.158800663,67,0
counter,rendered,realtime,1,20000000,1.25906558,15884796.1,0.158847961,66,0
counter,controller,turbo,2,20000000,1.17020338,17091046.2,0.170910462,0,0
counter,rendered,turbo,2,20000000,1.19895883,16681139.9,0.166811399,64,0
counter,board,turbo,2,20000000,0.925258834,21615573.1,0.216155731,0,0
counter,rendered,realtime,2,20000000,1.19938204,16675253.8,0.166752538,62,0
counter,rendered,turbo,3,20000000,1.19136683,16787440.6,0.167874406,62,0
counter,board,turbo,3,20000000,0.926637667,21583409.3,0.215834093,0,0
counter,controller,turbo,3,20000000,1.16559292,17158649.2,0.171586492,0,0
counter,rendered,realtime,3,20000000,1.20643596,16577755.2,0.165777552,62,0
stopwatch,board,turbo,1,20000000,1.07348658,18630880.3,0.186308803,0,0
stopwatch,controller,turbo,1,20000000,1.34024208,14922677.2,0.149226772,0,0
stopwatch,rendered,turbo,1,20000000,1.36357792,14667295.3,0.146672953,66,0
stopwatch,rendered,realtime,1,20000000,1.33873242,14939505.3,0.149395053,65,0
stopwatch,controller,turbo,2,20000000,1.318466,15169143.5,0.151691435,0,0
stopwatch,rendered,turbo,2,20000000,1.34444213,14876058.7,0.148760587,62,0
stopwatch,board,turbo,2,20000000,1.07561292,18594049.7,0.185940497,0,0
stopwatch,rendered,realtime,2,20000000,1.34135054,14910345.5,0.149103455,61,0
stopwatch,rendered,turbo,3,20000000,1.34601017,14858728.8,0.148587288,62,0
stopwatch,board,turbo,3,20000000,1.07950163,18527068,0.18527068,0,0
stopwatch,controller,turbo,3,20000000,1.31473821,15212153.9,0.152121539,0,0
stopwatch,rendered,realtime,3,20000000,1.33997021,14925705,0.14925705,65,0
