design,mode,run,cycles,seconds,cycles_per_second,refreshes,inspected_signals,logged_events
counter,tick,1,20000000,0.940289334,21270048.8,0,4,0
counter,refresh,1,20000000,0.937895375,21324340.1,200,4,0
counter,board_logging,1,20000000,0.942491084,21220359.9,0,4,0
counter,refresh_logging,1,20000000,1.03842175,19259997.2,200,4,158776
counter,refresh,2,20000000,0.956351541,20912812,200,4,0
counter,board_logging,2,20000000,0.976605292,20479102.6,0,4,0
counter,refresh_logging,2,20000000,1.08515487,18430548.9,200,4,158776
counter,tick,2,20000000,0.952226583,21003404.4,0,4,0
counter,board_logging,3,20000000,0.949391,21066136.1,0,4,0
counter,refresh_logging,3,20000000,1.03231954,19373846.2,200,4,158776
counter,tick,3,20000000,1.01581275,19688668,0,4,0
counter,refresh,3,20000000,0.933222042,21431126.9,200,4,0
stopwatch,tick,1,20000000,1.13829908,17570074.8,0,7,0
stopwatch,refresh,1,20000000,1.10407475,18114715.5,200,7,0
stopwatch,board_logging,1,20000000,1.11031696,18012874.5,0,7,0
stopwatch,refresh_logging,1,20000000,1.11330592,17964514.3,200,7,23
stopwatch,refresh,2,20000000,1.11200063,17985601.4,200,7,0
stopwatch,board_logging,2,20000000,1.18584133,16865662.7,0,7,0
stopwatch,refresh_logging,2,20000000,1.11867967,17878218.9,200,7,23
stopwatch,tick,2,20000000,1.12183412,17827947.6,0,7,0
stopwatch,board_logging,3,20000000,1.11254646,17976777.4,0,7,0
stopwatch,refresh_logging,3,20000000,1.11348975,17961548.4,200,7,23
stopwatch,tick,3,20000000,1.11207283,17984433.6,0,7,0
stopwatch,refresh,3,20000000,1.10462687,18105661.2,200,7,0
uart_echo,tick,1,20000000,1.05825308,18899070.9,0,5,0
uart_echo,refresh,1,20000000,1.06272054,18819623,200,5,0
uart_echo,board_logging,1,20000000,1.0582745,18898688.4,0,5,0
uart_echo,refresh_logging,1,20000000,1.08444958,18442535.6,200,5,385
uart_echo,refresh,2,20000000,1.08285975,18469612.5,200,5,0
uart_echo,board_logging,2,20000000,1.05746179,18913212.9,0,5,0
uart_echo,refresh_logging,2,20000000,1.07304613,18638527.8,200,5,385
uart_echo,tick,2,20000000,1.06750275,18735314.7,0,5,0
uart_echo,board_logging,3,20000000,1.05991208,18869489.6,0,5,0
uart_echo,refresh_logging,3,20000000,1.07076638,18678210.7,200,5,385
uart_echo,tick,3,20000000,1.0547475,18961884.2,0,5,0
uart_echo,refresh,3,20000000,1.08003283,18517955.6,200,5,0
vga_pattern,tick,1,20000000,1.43989725,13889880,0,7,0
vga_pattern,refresh,1,20000000,1.43161213,13970264.5,200,7,0
vga_pattern,board_logging,1,20000000,1.43037071,13982389.2,0,7,0
vga_pattern,refresh_logging,1,20000000,1.42815529,14004079.3,200,7,1
vga_pattern,refresh,2,20000000,1.41616188,14122679.3,200,7,0
vga_pattern,board_logging,2,20000000,1.41760879,14108264.6,0,7,0
vga_pattern,refresh_logging,2,20000000,1.41449646,14139307.2,200,7,1
vga_pattern,tick,2,20000000,1.41756592,14108691.4,0,7,0
vga_pattern,board_logging,3,20000000,1.41846371,14099761.5,0,7,0
vga_pattern,refresh_logging,3,20000000,1.42675333,14017840,200,7,1
vga_pattern,tick,3,20000000,1.41764358,14107918.4,0,7,0
vga_pattern,refresh,3,20000000,1.41815496,14102831.2,200,7,0
