design,mode,pacing,run,cycles,seconds,cycles_per_second,realtime_multiplier,frames
uart_echo,board,turbo,1,20000000,1.09480454,18268101,0.18268101,0
uart_echo,controller,turbo,1,20000000,1.37886133,14504721.8,0.145047218,0
uart_echo,rendered,turbo,1,20000000,1.36230271,14681024.9,0.146810249,136
uart_echo,rendered,realtime,1,20000000,1.34330758,14888622.9,0.148886229,135
uart_echo,controller,turbo,2,20000000,1.31072208,15258764.8,0.152587648,0
uart_echo,rendered,turbo,2,20000000,1.34276,14894694.5,0.148946945,129
uart_echo,board,turbo,2,20000000,1.082879,18469284.2,0.184692842,0
uart_echo,rendered,realtime,2,20000000,1.34787046,14838221.2,0.148382212,127
uart_echo,rendered,turbo,3,20000000,1.34664704,14851701.6,0.148517016,128
uart_echo,board,turbo,3,20000000,1.08513758,18430842.6,0.184308426,0
uart_echo,controller,turbo,3,20000000,1.31087279,15257010.5,0.152570105,0
uart_echo,rendered,realtime,3,20000000,1.35386337,14772539.4,0.147725394,129
counter,board,turbo,1,20000000,0.935561125,21377544.9,0.213775449,0
counter,controller,turbo,1,20000000,1.21555033,16453452.8,0.164534528,0
counter,rendered,turbo,1,20000000,1.18791083,16836280.5,0.168362805,67
counter,rendered,realtime,1,20000000,1.17774713,16981574,0.16981574,68
counter,controller,turbo,2,20000000,1.15647975,17293861,0.17293861,0
counter,rendered,turbo,2,20000000,1.17307208,17049250.7,0.170492507,67
counter,board,turbo,2,20000000,0.927555917,21562042.4,0.215620424,0
counter,rendered,realtime,2,20000000,1.20374942,16614753.6,0.166147536,68
counter,rendered,turbo,3,20000000,1.19172175,16782441,0.16782441,67
counter,board,turbo,3,20000000,0.933996542,21413355.5,0.214133555,0
counter,controller,turbo,3,20000000,1.15370483,17335456.5,0.173354565,0
counter,rendered,realtime,3,20000000,1.20264146,16630060.3,0.166300603,68
