design,mode,pacing,run,cycles,seconds,cycles_per_second,realtime_multiplier,frames,vga_frames
vga_pattern,board,turbo,1,20000000,1.40215588,14263749.4,0.142637494,0,12
vga_pattern,controller,turbo,1,20000000,1.68473604,11871295.9,0.118712959,0,12
vga_pattern,rendered,turbo,1,20000000,1.73853275,11503953.5,0.115039535,100,12
vga_pattern,rendered,realtime,1,20000000,1.70445125,11733981.8,0.117339818,101,12
vga_pattern,controller,turbo,2,20000000,1.66646962,12001418.9,0.120014189,0,12
vga_pattern,rendered,turbo,2,20000000,1.68715363,11854285.1,0.118542851,100,12
vga_pattern,board,turbo,2,20000000,1.39351033,14352243.8,0.143522438,0,12
vga_pattern,rendered,realtime,2,20000000,1.68895921,11841612.2,0.118416122,100,12
vga_pattern,rendered,turbo,3,20000000,1.69133958,11824946.5,0.118249465,99,12
vga_pattern,board,turbo,3,20000000,1.39397687,14347440.3,0.143474403,0,12
vga_pattern,controller,turbo,3,20000000,1.66545854,12008704.8,0.120087048,0,12
vga_pattern,rendered,realtime,3,20000000,1.69423258,11804754.7,0.118047547,100,12
